test_case,run_time,fw_version,sw_version,test_item,TPS,%99 latency,Read throughput (MB/s),Write throughput (MB/s),avgrq-sz,avgqu-sz,%user cpu,%sys cpu,%iowait cpu
sb-600G-FF75,3/27/2020 22:22,4705,50772,read_write,"3,747 ",28 ,"2,158 ",405 ,36 ,43 ,54 ,26 ,18 
sb-600G-FF75,3/27/2020 23:23,4705,50772,write_only,"9,667 ",16 ,627 ,783 ,28 ,22 ,65 ,18 ,6 
sb-2t-FF100,3/28/2020 10:25,4705,50772,read_only,"4,758 ",18 ,"2,800 ",0 ,37 ,71 ,29 ,23 ,45 
sb-2t-FF100,3/28/2020 11:41,4705,50772,update_non_index,"19,346 ",11 ,738 ,851 ,32 ,29 ,58 ,17 ,10 
sb-2t-FF100,3/28/2020 12:57,4705,50772,update_index,"18,220 ",11 ,729 ,857 ,32 ,28 ,58 ,16 ,10 
sb-2t-FF100,3/28/2020 14:15,4705,50772,point_select,"154,162 ",1 ,"2,440 ",0 ,25 ,60 ,27 ,35 ,36 
sb-2t-FF100,3/28/2020 15:31,4705,50772,read_write,"2,713 ",36 ,"2,082 ",487 ,36 ,51 ,50 ,24 ,23 
sb-2t-FF100,3/28/2020 16:47,4705,50772,write_only,"6,442 ",23 ,760 ,877 ,33 ,31 ,63 ,18 ,10 
sb-2t-FF75,3/29/2020 1:40,4705,50772,read_only,"4,154 ",20 ,"2,799 ",0 ,40 ,73 ,24 ,21 ,51 
sb-2t-FF75,3/29/2020 3:06,4705,50772,update_non_index,"56,266 ",3 ,"1,257 ",629 ,26 ,29 ,46 ,26 ,15 
sb-2t-FF75,3/29/2020 4:32,4705,50772,update_index,"19,951 ",10 ,773 ,726 ,29 ,22 ,61 ,16 ,9 
sb-2t-FF75,3/29/2020 5:58,4705,50772,point_select,"159,136 ",1 ,"2,346 ",0 ,24 ,57 ,28 ,36 ,34 
sb-2t-FF75,3/29/2020 7:24,4705,50772,read_write,"3,183 ",30 ,"2,546 ",312 ,37 ,53 ,45 ,25 ,27 
sb-2t-FF75,3/29/2020 8:52,4705,50772,write_only,"8,682 ",16 ,880 ,733 ,28 ,24 ,63 ,20 ,9 
sb-600g-FF100,4/5/2020 10:45,4705,50903,read_only,"7,542 ",14 ,"2,701 ",0 ,36 ,50 ,49 ,28 ,21 
sb-600g-FF100,4/5/2020 11:45,4705,50903,update_non_index,"29,761 ",8 ,737 ,765 ,26 ,23 ,58 ,17 ,8 
sb-600g-FF100,4/5/2020 12:45,4705,50903,update_index,"23,295 ",10 ,616 ,820 ,26 ,23 ,60 ,16 ,7 
sb-600g-FF100,4/5/2020 13:45,4705,50903,point_select,"185,116 ",1 ,"2,739 ",0 ,32 ,65 ,30 ,34 ,33 
sb-600g-FF100,4/5/2020 14:44,4705,50903,read_write,"3,571 ",30 ,"1,791 ",538 ,31 ,36 ,60 ,25 ,13 
sb-600g-FF100,4/5/2020 15:44,4705,50903,write_only,"8,668 ",19 ,681 ,835 ,26 ,25 ,65 ,18 ,7 
sb-600G-FF75,4/5/2020 18:54,4705,50903,read_only,"6,124 ",16 ,"2,803 ",0 ,39 ,63 ,39 ,25 ,34 
sb-600G-FF75,4/5/2020 19:55,4705,50903,update_non_index,"60,680 ",3 ,"1,049 ",660 ,26 ,24 ,49 ,24 ,11 
sb-600G-FF75,4/5/2020 20:55,4705,50903,update_index,"22,335 ",9 ,472 ,770 ,25 ,17 ,62 ,14 ,6 
sb-600G-FF75,4/5/2020 21:55,4705,50903,point_select,"183,255 ",1 ,"2,698 ",0 ,31 ,58 ,30 ,34 ,34 
sb-600G-FF75,4/5/2020 22:55,4705,50903,read_write,"3,757 ",28 ,"2,141 ",419 ,33 ,45 ,55 ,25 ,18 
sb-600G-FF75,4/5/2020 23:56,4705,50903,write_only,"9,713 ",17 ,628 ,789 ,25 ,21 ,66 ,18 ,6 
sb-tpcc-700-FF100,3/29/2020 21:47,4705,50772,run,"3,152 ",87 ,597 ,853 ,26 ,26 ,68 ,23 ,4 
sb-tpcc-700-FF75,3/30/2020 1:10,4705,50772,run,"4,227 ",70 ,774 ,712 ,25 ,21 ,65 ,26 ,4 
sb-tpcc-1400-FF100,3/30/2020 7:09,4705,50772,run,"2,706 ",103 ,896 ,789 ,26 ,28 ,66 ,24 ,6 
sb-tpcc-1400-FF75,3/30/2020 13:14,4705,50772,run,"3,797 ",90 ,"1,128 ",636 ,25 ,25 ,61 ,28 ,7 
sb-tpcc-700-FF100,4/6/2020 3:17,4705,50903,run,"3,173 ",87 ,586 ,844 ,25 ,25 ,69 ,22 ,4 
sb-tpcc-1400-FF75,4/6/2020 9:21,4705,50903,run,"3,808 ",90 ,"1,123 ",651 ,25 ,26 ,63 ,27 ,7 
